BoatType,Ladies,Year,Military,Veteran,Position,NameUnsorted,Name,Club,Club1,C1,Class,SubClass,Time,Trophies,Record,Notes,Flow,Country,BoatDesign,Finish
Kayak,Male,1980,Civilian,Junior,30,Perfect R W J & Young I,Perfect R W J & Young I,Army Apprentice College Arborfield,Army Apprentice College Arborfield,45,Junior,,20:10:03,,,,158,,,
Kayak,Male,1980,Civilian,Junior,28,Dawson J M & Patterson M,Dawson J M & Patterson M,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,20:10:24,,,,158,,,
Kayak,Male,1980,Civilian,Junior,29,Squance C & Critchey P,Critchey P & Squance C,Metropolitan Police,Metropolitan Police,247,Junior,,20:10:49,,,,158,,,
Kayak,Male,1980,Army,Senior,12,Larter A J & Brash T M,Brash T M & Larter A J,Royal Electrical & Mechanical Engineers,Royal Electrical & Mechanical Engineers,35,Senior,,20:14:12,,,,158,,,
Kayak,Male,1980,Civilian,Junior,32,Lambdin M A & Mobey T J,Lambdin M A & Mobey T J,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,20:17:43,,,,158,,,
Kayak,Male,1980,Civilian,Senior,13,Sedgewick M & Carter T,Carter T & Sedgewick M,Metropolitan Police,Metropolitan Police,247,Senior,Police,20:23:20,,,,158,,,
Kayak,Male,1980,Army Reserve,Senior,14,Black Dave & McPherson L,Black Dave & McPherson L,21 (Artists),21 (Artists),62,Senior,,20:34:55,,,,158,,,
Kayak,Male,1980,Civilian,Junior,33,Couch G & Harvey C J,Couch G & Harvey C J,Army Apprentice College Arborfield,Army Apprentice College Arborfield,45,Junior,,20:38:22,,,,158,,,
Kayak,Male,1980,Navy,Senior,15,Perrett M & Phillips R,Perrett M & Phillips R,Royal Marines,Royal Marines,187,Senior,,20:44:30,,,,158,,,
Kayak,Male,1980,Civilian,Junior,34,Stowell M & Whitehead S J,Stowell M & Whitehead S J,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,20:49:54,,,,158,,,
Kayak,Male,1980,Army,Senior,16,Jones H & Tape A J,Jones H & Tape A J,Royal Engineers,Royal Engineers,224,Senior,,20:58:20,,,,158,,,
Kayak,Male,1980,Civilian,Junior,35,Barrow M & Pearce J,Barrow M & Pearce J,Metropolitan Police,Metropolitan Police,247,Junior,,21:02:45,,,,158,,,
Kayak,Male,1980,Navy,Senior,17,Butler C & Barnes S,Barnes S & Butler C,Royal Marines,Royal Marines,187,Senior,,21:03:29,,,,158,,,
Kayak,Male,1980,Civilian,Senior,18,Bell Roger & Stanway P C,Bell Roger & Stanway P C,Newbury,Newbury,24,Senior,,21:05:12,,,,158,,,
Kayak,Male,1980,Civilian,Junior,36,Colley M & May M,Colley M & May M,Metropolitan Police,Metropolitan Police,247,Junior,,21:09:11,,,,158,,,
Kayak,Male,1980,Civilian,Junior,37,Cushing L A & Milner C S,Cushing L A & Milner C S,3rd Staines Venture Scouts,3rd Staines Venture Scouts,1,Junior,,21:09:28,,,,158,,,
Kayak,Male,1980,Civilian,Junior,31,Hatter M S & Fletcher S C,Fletcher S C & Hatter M S,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,21:13:25,,,,158,,,
Kayak,Male,1980,Army,Senior,19,Jones S W & Dinwiddie P G,Dinwiddie P G & Jones S W,Royal Military Col. of Science,Royal Military Col. of Science,45,Senior,,21:17:50,,,,158,,,
Kayak,Male,1980,Civilian,Junior,38,Barnett P A & Whitehead M E,Barnett P A & Whitehead M E,Thames Valley Police,Thames Valley Police,62,Junior,,21:22:17,,,,158,,,
Kayak,Male,1980,Civilian,Senior,20,Edwards Roger A & Allaway H C L,Allaway H C L & Edwards Roger A,Longridge,Longridge,52,Senior,Scouts,21:22:55,Scouts,,,158,,,
Kayak,Mixed,1980,Civilian,Senior,21,Spencer A & Hancorn Beryl,Hancorn Beryl & Spencer A,Hereford,Hereford,56,Senior,,21:26:30,Mixed,,,158,,,
Kayak,Male,1980,Civilian,Junior,39,Eastman P A & Williams D M,Eastman P A & Williams D M,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,21:26:37,,,,158,,,
Kayak,Male,1980,Civilian,Junior,40,Kopp C & Swiatowski C,Kopp C & Swiatowski C,"Blau weiss-Tegel, West Germany","Blau weiss-Tegel, West Germany",1,Junior,,21:30:06,,,,158,,,
Kayak,Male,1980,Civilian,Junior,41,Holgate J & Egan A,Egan A & Holgate J,Metropolitan Police,Metropolitan Police,247,Junior,,21:35:19,,,,158,,,
Kayak,Male,1980,Civilian,Junior,42,Willcox M & Rees C,Rees C & Willcox M,An voriadron vsu,An voriadron vsu,1,Junior,,21:36:08,,,,158,,,
Kayak,Male,1980,Navy,Senior,22,Walters P & Pearson J,Pearson J & Walters P,Royal Marines,Royal Marines,187,Senior,,21:38:11,,,,158,,,
Kayak,Male,1980,Civilian,Senior,23,Gammage V G & Williams G,Gammage V G & Williams G,Hereford,Hereford,56,Senior,,21:45:44,,,,158,,,
Kayak,Male,1980,Civilian,Junior,43,Hudson A P & FIeed C A,FIeed C A & Hudson A P,Thames Valley Police,Thames Valley Police,62,Junior,,21:47:37,,,,158,,,
Kayak,Male,1980,Civilian,Senior,24,Yates K & White P,White P & Yates K,Wolverhamption,Wolverhamption,7,Senior,,21:48:20,,,,158,,,
Kayak,Ladies,1980,Civilian,Junior,44,Kelly Teresa & Day Nicola,Day Nicola & Kelly Teresa,Metropolitan Police,Metropolitan Police,247,Junior,,21:56:41,Ladies,,,158,,,
Kayak,Male,1980,Civilian,Senior,25,Robbins K & Metcalfe R J,Metcalfe R J & Robbins K,Chippenham,Chippenham,6,Senior,,22:04:35,,,,158,,,
Kayak,Male,1980,Civilian,Senior,26,Gillman C R & Little R J,Gillman C R & Little R J,Totness,Totness,5,Senior,,22:05:10,,,,158,,,
Kayak,Male,1980,Civilian,Senior,27,Edwards G T & Edwards C,Edwards C & Edwards G T,Llantwit Major SLSC,Llantwit Major SLSC,10,Senior,,22:07:35,Home Built,,,158,,,
Kayak,Male,1980,Civilian,Junior,45,Ellis A & Hubber S,Ellis A & Hubber S,Devon & Cornwall Police,Devon & Cornwall Police,27,Junior,,22:14:22,,,,158,,,
Kayak,Male,1980,Civilian,Junior,46,Spence P & Nixon M,Nixon M & Spence P,North Watford VSU,North Watford VSU,10,Junior,,22:16:49,,,,158,,,
Kayak,Male,1980,Civilian,Junior,47,Simpson B & Beavis B C,Beavis B C & Simpson B,HMS Fisgard,HMS Fisgard,47,Junior,,22:18:39,,,,158,,,
Kayak,Male,1980,Civilian,Junior,48,Carter S J & Paton M,Carter S J & Paton M,HMS Fisgard,HMS Fisgard,47,Junior,,22:19:42,,,,158,,,
Kayak,Male,1980,Civilian,Junior,49,Fuszard M A & Morley S A,Fuszard M A & Morley S A,St.Austell,St.Austell,1,Junior,,22:29:22,,,,158,,,
Kayak,Male,1980,Civilian,Senior,28,McGladdery G M & Lyon G,Lyon G & McGladdery G M,Hereford,Hereford,56,Senior,,22:29:30,,,,158,,,
Kayak,Male,1980,Navy Reserve,Senior,29,Hobley Nick & Berry K D,Berry K D & Hobley Nick,Royal Marines Reserve - Bristol,Royal Marines Reserve - Bristol,3,Senior,,22:33:00,,,,158,,,
Kayak,Male,1980,Civilian,Senior,30,Anderson P G & Hooke N J,Anderson P G & Hooke N J,Meridian,Meridian,16,Senior,,22:39:44,,,,158,,,
Kayak,Male,1980,Civilian,Senior,31,Helps E J & O'Sullivan A V,Helps E J & O'Sullivan A V,Newham,Newham,33,Senior,,22:42:16,,,,158,,,
Kayak,Male,1980,Civilian,Senior,32,Craddock John & Shaw S J,Craddock John & Shaw S J,Portscreek Venture Scouts,Portscreek Venture Scouts,6,Senior,,22:43:45,,,,158,,,
Kayak,Male,1980,Civilian,Senior,33,Adlam P D & Germain M,Adlam P D & Germain M,Newbury,Newbury,24,Senior,,22:44:24,,,,158,,,
Kayak,Male,1980,Civilian,Junior,50,Smith R J & Whinney I C,Smith R J & Whinney I C,"Army Apprentices College, Chepstow","Army Apprentices College, Chepstow",12,Junior,,22:47:48,,,,158,,,
Kayak,Male,1980,Civilian,Junior,51,Patrick M P & Wood T P,Patrick M P & Wood T P,"Army Apprentices College, Chepstow","Army Apprentices College, Chepstow",12,Junior,,22:49:37,,,,158,,,
Kayak,Male,1980,Army,Senior,34,Kershaw-Naylor J P & Pead A N,Kershaw-Naylor J P & Pead A N,Royal Military Col. of Science,Royal Military Col. of Science,45,Senior,,22:50:05,,,,158,,,
Kayak,Male,1980,Civilian,Senior,35,Church Marcus & Edwards M,Church Marcus & Edwards M,Worthies S & S C,Worthies S & S C,8,Senior,,22:57:36,,,,158,,,
Kayak,Male,1980,Civilian,Senior,36,Lee M A & Gardiner A C,Gardiner A C & Lee M A,Independent,Independent,1146,Senior,,23:12:40,,,,158,,,
Kayak,Ladies,1980,Civilian,Junior,52,Levett Sandra & Tilzey Jane,Levett Sandra & Tilzey Jane,Sussex Police,Sussex Police,44,Junior,,23:15:24,,,,158,,,
Kayak,Male,1980,Civilian,Junior,53,Williams A N & Bell A,Bell A & Williams A N,"Army Apprentices College, Chepstow","Army Apprentices College, Chepstow",12,Junior,,23:27:13,,,,158,,,
Kayak,Mixed,1980,Civilian,Senior,37,Templeton Susan & Miller A R,Miller A R & Templeton Susan,Itchen Valley,Itchen Valley,16,Senior,,23:29:25,,,,158,,,
Kayak,Male,1980,Army Reserve,Senior,38,Dickson P & Hannam Ian,Dickson P & Hannam Ian,21 (Artists),21 (Artists),62,Senior,,23:29:25,,,,158,,,
Kayak,Male,1980,Civilian,Senior,39,French P & Worthy R,French P & Worthy R,Metropolitan Police,Metropolitan Police,247,Senior,Police,23:34:55,,,,158,,,
Kayak,Male,1980,Civilian,Senior,40,Freer A & Bolton C W,Bolton C W & Freer A,Berkeley Venture Scouts,Berkeley Venture Scouts,1,Senior,Scouts,24:03:36,,,,158,,,
Kayak,Male,1980,Civilian,Senior,41,Masters M & Stewart M,Masters M & Stewart M,Worthies S & S C & Hampshire Association,Worthies S & S C,8,Senior,,24:05:20,,,,158,,,
Kayak,Male,1980,Navy,Senior,42,McQueen R & Bethell R J,Bethell R J & McQueen R,Royal Navy,Royal Navy,54,Senior,,24:13:30,Navy,,,158,,,
Kayak,Male,1980,Civilian,Junior,54,Grover D & Hacking S,Grover D & Hacking S,Devon & Cornwall Police,Devon & Cornwall Police,27,Junior,,24:23:30,,,,158,,,
Kayak,Male,1980,Civilian,Senior,43,Porter T & Coslett T,Coslett T & Porter T,Wey & Tonbridge,Wey,51,Senior,,24:27:18,,,,158,,,
Kayak,Male,1980,Civilian,Senior,44,Gordon N & Sherman S,Gordon N & Sherman S,Llantwit Major SLSC,Llantwit Major SLSC,10,Senior,,24:29:55,,,,158,,,
Kayak,Male,1980,Civilian,Junior,55,Thompso W B & Brown G R,Brown G R & Thompso W B,HMS Fisgard,HMS Fisgard,47,Junior,,24:55:52,,,,158,,,
Kayak,Male,1980,Civilian,Junior,56,Redmond P J & Jones C J,Jones C J & Redmond P J,Churchdown Scout Group,Churchdown Scout Group,2,Junior,,25:03:48,,,,158,,,
Kayak,Male,1980,Navy,Senior,45,Wood W R & McArthur J C,McArthur J C & Wood W R,Royal Navy,Royal Navy,54,Senior,,25:12:55,,,,158,,,
Kayak,Male,1980,Civilian,Senior,46,Bedford M A & Pike G F,Bedford M A & Pike G F,T.S. Broadsword,T.S. Broadsword,1,Senior,,25:38:45,,,,158,,,
Kayak,Ladies,1980,Civilian,Junior,57,West Amanda & Thomas Tracy,Thomas Tracy & West Amanda,Devon & Cornwall Police,Devon & Cornwall Police,27,Junior,,25:44:00,,,,158,,,
Kayak,Male,1980,Civilian,Senior,47,Belcher P & Buenechea R,Belcher P & Buenechea R,Atlantic College,Atlantic College,2,Senior,,25:45:56,,,,158,,,
Kayak,Male,1980,Army Reserve,Senior,48,Sanderson K S & Davies C A,Davies C A & Sanderson K S,266 Bty RA (V),266 Bty RA (V),8,Senior,,25:56:30,,,,158,,,
Kayak,Male,1980,Civilian,Veteran,49,Cattermole J D & Sinclair P J,Cattermole J D & Sinclair P J,Lewes Venture Scouts,Lewes Venture Scouts,1,Senior,Scouts,26:20:01,Veteran,,,158,,,
Kayak,Male,1980,Civilian,Junior,58,Palterman S & Tomlinson D S,Palterman S & Tomlinson D S,The Infantry J.L. Battalion,The Infantry J.L. Battalion,2,Junior,,26:32:15,,,,158,,,
Kayak,Male,1980,Army,Senior,50,Wauters J & Deckx H,Deckx H & Wauters J,Para-Commando Belgium,Para-Commando Belgium,30,Senior,Overseas,26:37:05,,,,158,Belgium,,
Kayak,Male,1980,Civilian,Senior,51,Neate P W & Davies N L,Davies N L & Neate P W,6th Hereford Venture Scouts,6th Hereford Venture Scouts,1,Senior,Scouts,26:51:50,,,,158,,,
Kayak,Male,1980,Civilian,Senior,52,Evans D N & Morgan R A,Evans D N & Morgan R A,Llantwit Major SLSC,Llantwit Major SLSC,10,Senior,,27:03:55,,,,158,,,
Kayak,Male,1980,Civilian,Senior,53,Lush A C & Bryant A P,Bryant A P & Lush A C,BLESMA & Wey,BLESMA,3,Senior,,27:11:10,,,,158,,,
Kayak,Male,1980,Civilian,Senior,54,Bond M & Bailey T,Bailey T & Bond M,Syms Transport & Melksham Adventure Unit,Syms Transport,2,Senior,,27:14:45,,,,158,,,
Kayak,Male,1980,Civilian,Junior,59,Jeffries P H & Rawlins S J,Jeffries P H & Rawlins S J,The Infantry J.L. Battalion,The Infantry J.L. Battalion,2,Junior,,27:28:31,,,,158,,,
Kayak,Male,1980,Army,Senior,55,Harking A D & Owen C L,Harking A D & Owen C L,Royal Military Col. of Science,Royal Military Col. of Science,45,Senior,,27:29:37,,,,158,,,
Kayak,Male,1980,Civilian,Senior,56,Jones B J M & Daykin A,Daykin A & Jones B J M,Royal,Royal,57,Senior,,27:38:56,,,,158,,,
Kayak,Male,1980,Civilian,Junior,60,Miller J D & Foster C J,Foster C J & Miller J D,Meridian,Meridian,16,Junior,,28:53:45,,,,158,,,
Kayak,Male,1980,Civilian,Senior,57,Higgs S J & Andrews M,Andrews M & Higgs S J,Wiltshire Police,Wiltshire Police,16,Senior,Police,29:04:48,,,,158,,,
Kayak,Ladies,1980,Civilian,Senior,58,Wood Karen & Heddema Titia,Heddema Titia & Wood Karen,Atlantic College,Atlantic College,2,Senior,,29:42:04,Ladies,,,158,,,
Kayak,Male,1980,Civilian,Senior,59,Beatt P I & Barcilon P,Barcilon P & Beatt P I,Independent,Independent,1146,Senior,,31:50:10,,,,158,,,
Kayak,Male,1980,Civilian,Senior,60,Nicholl V J & Wallace A D,Nicholl V J & Wallace A D,Independent,Independent,1146,Senior,,35:58:55,,,,158,,,
Kayak,Male,1980,Civilian,Senior,61,Newton C T & Hyde P J,Hyde P J & Newton C T,Stubbers,Stubbers,34,Senior,,37:35:45,,,,158,,,
Kayak,Male,1980,Civilian,Senior,62,Blackmore L & Heath S,Blackmore L & Heath S,Bradby Boys Club,Bradby Boys Club,10,Senior,,37:42:55,,,,158,,,
Kayak,Male,1980,Civilian,Senior,63,Stutley R A & Saunders C G,Saunders C G & Stutley R A,Leukaemia Research Fund,Leukaemia Research Fund,1,Senior,,37:53:25,,,,158,,,
Kayak,Male,1980,Civilian,Senior,64,Cook K G & Reynolds J P,Cook K G & Reynolds J P,Woolacombe SLSC,Woolacombe SLSC,4,Senior,,38:01:25,,,,158,,,
Canadian,Male,1980,Civilian,Senior,65,Porte J & Ashby B,Ashby B & Porte J,New york CRA/US CA,New york CRA/US CA,3,Senior,Overseas,38:32:45,Canadian,,,158,USA,,
Kayak,Male,1980,Civilian,Senior,66,Beck L & Savill G,Beck L & Savill G,BLESMA & W,BLESMA,3,Senior,,38:43:00,,,,158,,,
Kayak,Male,1980,RAF,Senior,67,Tisbury J A & Pickering J M,Pickering J M & Tisbury J A,RAF,RAF,26,Senior,,39:35:40,RAF,,,158,,,
Kayak,Male,1980,Civilian,Senior,68,Rex A K & Leach S L,Leach S L & Rex A K,Independent,Independent,1146,Senior,,40:08:45,,,,158,,,
Kayak,Male,1980,Civilian,Senior,69,Goward W M & Fitzgerald B,Fitzgerald B & Goward W M,Independent,Independent,1146,Senior,,40:35:55,,,,158,,,
Kayak,Male,1980,Civilian,Senior,70,Dilworth M R & Hobbs C E,Dilworth M R & Hobbs C E,Crawley West Venture Scouts,Crawley West Venture Scouts,3,Senior,Scouts,48:27:00,,,,158,,,
Kayak,Male,1980,Civilian,Senior,71,Charles J & Weller W P,Charles J & Weller W P,2nd Basingstoke Boys Brigade,2nd Basingstoke Boys Brigade,2,Senior,Scouts,54:44:45,,,,158,,,
Kayak,Male,1981,Civilian,Junior,1,Wells Paul R & Evans S,Evans S & Wells Paul R,12th Ruislip and Leander Scouts,12th Ruislip and Leander Scouts,1,Junior,,16:34:54,Civilian,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,1,Greenham Brian & Belcher R J,Belcher R J & Greenham Brian,Reading & Preston Brook,Reading,67,Senior,,17:22:14,Civilian,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,2,Howell-Jones R & Loughrey D,Howell-Jones R & Loughrey D,Leighton Park School,Leighton Park School,43,Junior,,17:49:43,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,3,Wells Mike J & Pemble D A,Pemble D A & Wells Mike J,Richmond,Richmond,265,Junior,,18:01:11,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,2,Pendle Dyson & Day J,Day J & Pendle Dyson,35th Norwich Sea Scouts,35th Norwich Sea Scouts,6,Senior,Scouts,18:24:13,Scouts,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,4,Patrick M P & Matthews T R,Matthews T R & Patrick M P,Beachtey & Hereford 's,Beachtey & Hereford 's,1,Junior,,18:32:51,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,5,Newton R & Harvey C J,Harvey C J & Newton R,Army Apprentice College Arborfield,Army Apprentice College Arborfield,45,Junior,,18:47:28,,,,70.2,,,
Kayak,Male,1981,Army,Senior,3,Adnitt Nick & Heath A,Adnitt Nick & Heath A,Royal Engineers,Royal Engineers,224,Senior,,18:56:29,Services,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,6,Mannering N & Buffoni P,Buffoni P & Mannering N,Metropolitan Police,Metropolitan Police,247,Junior,Police,19:07:38,Police,,,70.2,,,
Kayak,Male,1981,Army,Senior,4,Wood T & Griffiths G H,Griffiths G H & Wood T,Royal Engineers,Royal Engineers,224,Senior,,19:25:16,,,,70.2,,,
Kayak,Male,1981,Army Reserve,Senior,5,Andrews D E & McQueenie Terry,Andrews D E & McQueenie Terry,21 (Artists),21 (Artists),62,Senior,,19:36:16,Reserve,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,7,Waldron P A & Downham R,Downham R & Waldron P A,Thames Valley Police,Thames Valley Police,62,Junior,,19:45:25,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,8,Setway M & Jefferies D,Jefferies D & Setway M,Bryanston School,Bryanston School,114,Junior,,19:49:11,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,9,Pratt S & Graysmark P,Graysmark P & Pratt S,Sussex Police,Sussex Police,44,Junior,,19:53:01,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,10,Beavis A & Dove D,Beavis A & Dove D,Metropolitan Police,Metropolitan Police,247,Junior,,19:55:20,,,,70.2,,,
Kayak,Mixed,1981,Civilian,Senior,6,Phillips D K & Nadal Kathleen,Nadal Kathleen & Phillips D K,Nottingham,Nottingham,67,Senior,,19:59:19,Mixed,,,70.2,,,
Kayak,Male,1981,Army,Senior,7,Tape A J & Jones H,Jones H & Tape A J,Royal Engineers,Royal Engineers,224,Senior,,20:01:07,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,11,Fulford N & Munday S,Fulford N & Munday S,Metropolitan Police,Metropolitan Police,247,Junior,,20:06:09,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,12,Jane N & Park A,Jane N & Park A,Devon & Cornwall Police,Devon & Cornwall Police,27,Junior,,20:06:19,,,,70.2,,,
Kayak,Male,1981,Army,Senior,8,Oliver P A & Jardine G,Jardine G & Oliver P A,Royal Engineers,Royal Engineers,224,Senior,,20:12:11,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,13,Auger M & Bartlett N,Auger M & Bartlett N,Sussex Police,Sussex Police,44,Junior,,20:17:40,,,,70.2,,,
Kayak,Male,1981,Army,Senior,9,Kershaw-Naylor J P & Pead A N,Kershaw-Naylor J P & Pead A N,Royal Military Col. of Science,Royal Military Col. of Science,45,Senior,,20:25:12,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,14,Grey I & Payne J,Grey I & Payne J,Metropolitan Police,Metropolitan Police,247,Junior,,20:25:50,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,15,Tarling A & Berridge G A,Berridge G A & Tarling A,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,20:30:06,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,16,Whitehead S J & Stowell M,Stowell M & Whitehead S J,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,20:35:36,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,17,Borthwick W N & Robinson R H,Borthwick W N & Robinson R H,Army Apprentice College Arborfield,Army Apprentice College Arborfield,45,Junior,,20:35:51,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,18,Perrett AJ & Robinson S A,Perrett AJ & Robinson S A,Wiltshire Constabulary,Wiltshire Constabulary,66,Junior,,20:50:50,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,19,Harman G J & Simpson R J,Harman G J & Simpson R J,Thames Valley Police,Thames Valley Police,62,Junior,,20:52:30,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,10,Harry M H & Springford P C,Harry M H & Springford P C,Windsor,Windsor,30,Senior,,20:59:20,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,20,Renwick M R & Trimble N R,Renwick M R & Trimble N R,Thames Valley Police,Thames Valley Police,62,Junior,,21:04:05,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,21,Newton A C & Barden P,Barden P & Newton A C,Stubbers & Chelmsford,Stubbers & Chelmsford,1,Junior,,21:24:24,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,11,Muir AJ & Davies N L,Davies N L & Muir AJ,Hereford,Hereford,56,Senior,,21:33:17,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,12,Wrafter P J & James D J,James D J & Wrafter P J,Newham,Newham,33,Senior,,21:38:27,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,13,Spence D A & Fleming P R,Fleming P R & Spence D A,Chelmsford,Chelmsford,44,Senior,,21:48:20,,,,70.2,,,
Kayak,Mixed,1981,Civilian,Junior,22,Cafferty J L & Walker V J,Cafferty J L & Walker V J,Infantry Junior Leaders Bn.,Infantry Junior Leaders Bn.,4,Junior,,21:51:40,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,23,Redmond P J & Redman N,Redman N & Redmond P J,Churchdown Scout Group,Churchdown Scout Group,2,Junior,Scouts,21:53:07,Scouts,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,14,Campbell D G & Bragg A M,Bragg A M & Campbell D G,Newham,Newham,33,Senior,,21:55:36,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,24,Gill D & Mash A,Gill D & Mash A,Metropolitan Police,Metropolitan Police,247,Junior,,21:56:22,,,,70.2,,,
Kayak,Male,1981,RAF,Senior,15,Barrie L & Dodd P,Barrie L & Dodd P,RAF CA,RAF CA,19,Senior,,21:58:47,RAF,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,25,Williamson D & Mays A,Mays A & Williamson D,Sussex Police,Sussex Police,44,Junior,,21:59:04,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,16,Evans C W & Gates B C,Evans C W & Gates B C,Hereford,Hereford,56,Senior,,22:04:02,Lee,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,17,Vincent R J & Beaver Tim E,Beaver Tim E & Vincent R J,78th Leicester V Scouts,78th Leicester V Scouts,2,Senior,Scouts,22:04:22,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,18,Wibrew Michael & Richardson David,Richardson David & Wibrew Michael,Maidstone,Maidstone,50,Senior,,22:08:02,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,26,Walton P L & McDonald R D,McDonald R D & Walton P L,Army Apprentice College Arborfield,Army Apprentice College Arborfield,45,Junior,,22:08:37,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,27,Podd M & Phillimore G,Phillimore G & Podd M,3rd Harlington (Berkeley) V.S.U.,3rd Harlington (Berkeley) V.S.U.,1,Junior,Scouts,22:09:41,,,,70.2,,,
Kayak,Male,1981,Army,Senior,19,Haslam A T & Williams J M,Haslam A T & Williams J M,Royal Military Col. of Science,Royal Military Col. of Science,45,Senior,,22:15:27,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,20,Hudson K J & Bimie C D,Bimie C D & Hudson K J,Wokingham Scouts,Wokingham Scouts,36,Senior,Scouts,22:15:37,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,28,Commer IP & Dawson AP,Commer IP & Dawson AP,Thames Valley Police,Thames Valley Police,62,Junior,,22:16:57,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,21,Jeacock S W & Beckett A J,Beckett A J & Jeacock S W,Milton Keynes,Milton Keynes,7,Senior,,22:26:31,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,29,Greenbrook D & Jones G,Greenbrook D & Jones G,Hereford District Scouts,Hereford District Scouts,5,Junior,Scouts,22:27:49,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,30,Blackman I O & Wooster D,Blackman I O & Wooster D,Marlow,Marlow,33,Junior,,22:29:10,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,31,Roberts E N & Hudson M D,Hudson M D & Roberts E N,Orwell K.C.,Orwell K.C.,1,Junior,,22:29:28,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,22,Compton M F & Trudgeon K T,Compton M F & Trudgeon K T,ST Austell Scouts & Endeavour,ST Austell Scouts,5,Senior,,22:30:18,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,23,Craddock John & Shaw S J,Craddock John & Shaw S J,Portscreek Venture Scouts,Portscreek Venture Scouts,6,Senior,,22:34:49,,,,70.2,,,
Kayak,Male,1981,Army,Senior,24,Gibson I R & Wattlin J,Gibson I R & Wattlin J,32 G.W.Reg/RA,32 G.W.Reg/RA,8,Senior,,22:36:18,,,,70.2,,,
Kayak,Mixed,1981,Civilian,Junior,32,Stretton Moira & Tressider K,Stretton Moira & Tressider K,Metropolitan Police,Metropolitan Police,247,Junior,,22:37:59,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,33,Lund-Lack S G & Romney J L,Lund-Lack S G & Romney J L,Tonbridge W. Kent,Tonbridge W. Kent,2,Junior,,22:38:54,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,25,Amos S J & Gyurgyak P J,Amos S J & Gyurgyak P J,Exeter Scouts & C.T. Scouts (Australia),Exeter Scouts,2,Senior,Scouts,22:42:00,,,,70.2,,,
Kayak,Male,1981,Civilian,Senior,26,Summers I & Davies A,Davies A & Summers I,Stubbers,Stubbers,34,Senior,,22:48:13,,,,70.2,,,
Kayak,Male,1981,Civilian,Junior,34,Carter M & Pate C,Carter M & Pate C,Devon & Cornwall Police,Devon & Cornwall Police,27,Junior,,22:49:32,,,,70.2,,,
Kayak,Male,1981,Army,Senior,27,Donohue AJ & Booth K R,Booth K R & Donohue AJ,29 Commando RA,29 Commando RA,9,Senior,,22:51:39,,,,70.2,,,
